# Self-published geofeed as defined in datatracker.ietf.org/doc/html/rfc8805,,,,
# lastupdated (rfc3339): 2026-01-28T13:49:30+01:00,,,,
prefix,country,region,city,postal_code
2.56.236.0/24,US,US-TX,Dallas,
2.56.237.0/24,US,US-TX,Dallas,
2.56.238.0/24,US,US-TX,Dallas,
2.56.239.0/24,US,US-TX,Dallas,
2.58.75.0/24,US,US-TX,Dallas,
2.59.158.0/24,DE,,Nuremberg,
2.59.159.0/24,DE,,Nuremberg,
5.181.206.0/24,ES,,,
5.252.248.0/24,US,US-WA,Seattle,
5.252.249.0/24,US,US-WA,Seattle,
5.252.250.0/24,US,US-WA,Seattle,
5.252.251.0/24,US,US-WA,Seattle,
31.132.60.0/24,US,US-WA,Seattle,
31.132.61.0/24,US,US-WA,Seattle,
31.132.62.0/24,US,US-WA,Seattle,
31.132.63.0/24,US,US-WA,Seattle,
31.220.46.0/24,LT,,Vilnius,
31.220.47.0/24,LT,,Vilnius,
37.140.246.0/24,DE,,Frankfurt,
45.8.164.0/24,US,US-TX,Dallas,
45.8.165.0/24,US,US-TX,Dallas,
45.8.166.0/24,US,US-TX,Dallas,
45.8.167.0/24,US,US-TX,Dallas,
45.10.212.0/24,PH,,,
45.10.214.0/24,TW,,,
45.10.215.0/24,VN,,,
45.67.224.0/24,ES,,Madrid,
45.67.225.0/24,ES,,Madrid,
45.67.226.0/24,ES,,Madrid,
45.67.227.0/24,ES,,Madrid,
45.82.20.0/24,CA,,Ottawa,
45.82.21.0/24,CA,,Ottawa,
45.82.22.0/24,CA,,Ottawa,
45.82.23.0/24,CA,,Ottawa,
45.86.128.0/24,ES,,Madrid,
45.86.129.0/24,ES,,Madrid,
45.86.130.0/24,ES,,Madrid,
45.86.131.0/24,ES,,Madrid,
45.87.8.0/24,AR,,,
45.87.9.0/24,BR,,,
45.87.11.0/24,CO,,,
45.94.160.0/24,PE,,,
45.94.161.0/24,UY,,,
45.94.162.0/24,VE,,,
45.94.163.0/24,MX,,,
45.130.224.0/24,ID,,,
45.130.225.0/24,ID,,,
45.130.226.0/24,ID,,,
45.130.227.0/24,ID,,,
45.134.68.0/24,ES,,Madrid,
45.134.69.0/24,ES,,Madrid,
45.134.70.0/24,ES,,Madrid,
45.134.71.0/24,ES,,Madrid,
45.134.116.0/24,CA,,Ottawa,
45.134.117.0/24,CA,,Ottawa,
45.134.118.0/24,CA,,Ottawa,
45.134.119.0/24,CA,,Ottawa,
45.137.140.0/24,CA,,Ottawa,
45.137.141.0/24,CA,,Ottawa,
45.137.142.0/24,CA,,Ottawa,
45.137.143.0/24,CA,,Ottawa,
45.147.72.0/24,CA,,Ottawa,
45.147.73.0/24,CA,,Ottawa,
45.147.74.0/24,CA,,Ottawa,
45.147.75.0/24,CA,,Ottawa,
45.148.188.0/24,ES,,Madrid,
45.148.189.0/24,ES,,Madrid,
45.148.190.0/24,ES,,Madrid,
45.148.191.0/24,ES,,Madrid,
45.157.80.0/24,ES,,Madrid,
45.157.81.0/24,ES,,Madrid,
45.157.82.0/24,ES,,Madrid,
45.157.83.0/24,ES,,Madrid,
45.157.184.0/24,ES,,Madrid,
45.157.185.0/24,ES,,Madrid,
45.157.186.0/24,ES,,Madrid,
45.157.187.0/24,ES,,Madrid,
46.253.141.0/24,DE,,Frankfurt,
62.3.8.0/24,DE,,Frankfurt,
62.3.9.0/24,DE,,Frankfurt,
62.3.25.0/24,DE,,Frankfurt,
62.106.65.0/24,FR,,,
62.106.72.0/24,US,US-TX,Dallas,
77.75.52.0/24,US,US-WA,Seattle,
77.75.53.0/24,US,US-WA,Seattle,
77.75.54.0/24,US,US-WA,Seattle,
77.75.55.0/24,US,US-WA,Seattle,
77.237.230.0/24,LT,,Vilnius,
77.237.231.0/24,LT,,Vilnius,
79.174.8.0/24,US,US-WA,Seattle,
79.174.9.0/24,US,US-WA,Seattle,
79.174.10.0/24,US,US-WA,Seattle,
79.174.11.0/24,US,US-WA,Seattle,
80.71.148.0/24,US,US-TX,Dallas,
85.92.104.0/24,LT,,Vilnius,
85.92.105.0/24,LT,,Vilnius,
85.92.106.0/24,LT,,Vilnius,
85.92.107.0/24,LT,,Vilnius,
85.190.231.0/24,DE,,,
85.190.255.0/24,US,US-TX,Dallas,
